,practice,bnf_code,bnf_name,items,nic,act_cost,quantity,month,year
117,9682,8687,1263,4,52.92,49.03,4200,5,2016
118,5878,8687,1263,2,15.12,14.23,1200,5,2016
119,9358,8687,1263,5,56.45,52.78,4024,5,2016
120,2974,8687,1263,1,21.84,20.39,1050,5,2016
121,10599,8687,1263,5,14.41,14.04,1143,5,2016
122,9159,8687,1263,3,16.44,15.86,1110,5,2016
123,9258,8687,1263,1,8.19,7.7,650,5,2016
124,9432,8687,1263,4,30.16,28.46,2394,5,2016
125,8520,8687,1263,2,15.88,14.92,1260,5,2016
126,2556,8687,1263,3,42.33,39.9,3360,5,2016
127,4079,8687,1263,11,157.53,147.33,12502,5,2016
128,3575,8687,1263,1,14.16,13.22,1124,5,2016
129,7509,8687,1263,4,40.04,37.45,3178,5,2016
130,8233,8687,1263,3,21.14,19.83,1568,5,2016
131,2,8687,1263,3,21.84,20.28,1050,5,2016
132,4046,8687,1263,5,36.8,34.62,2100,5,2016
134,3208,8687,1263,5,13.25,12.82,1050,5,2016
135,2326,8687,1263,33,208.57,197.62,15479,5,2016
137,6742,8687,1263,12,15.18,15.85,1173,5,2016
141,2970,8687,1263,14,106.96,101.25,8490,5,2016
142,5354,8687,1263,6,72.96,68.06,5790,5,2016
143,3231,8687,1263,3,21.18,20.32,1680,5,2016
144,398,8687,1263,2,3.52,3.56,280,5,2016
145,4543,8687,1263,9,117.72,110.3,7520,5,2016
146,4282,8687,1263,10,103.0,96.79,8176,5,2016
147,3380,8687,1263,4,22.62,21.6,1795,5,2016
148,2049,8687,1263,6,24.02,23.52,1907,5,2016
149,645,8687,1263,24,184.51,175.05,14447,5,2016
150,7051,8687,1263,8,83.06,78.11,5680,5,2016
151,6704,8687,1263,6,38.35,36.84,3044,5,2016
152,3603,8687,1263,14,67.84,64.78,5383,5,2016
153,783,8687,1263,27,189.64,180.01,13230,5,2016
155,7768,8687,1263,6,47.5,45.02,3770,5,2016
156,7860,8687,1263,11,112.18,105.63,6626,5,2016
157,6531,8687,1263,1,6.17,5.87,490,5,2016
158,5504,8687,1263,8,44.71,42.2,3320,5,2016
159,4252,8687,1263,6,50.27,47.24,3534,5,2016
160,4471,8687,1263,4,34.94,32.94,2772,5,2016
161,4733,8687,1263,4,28.83,27.46,2288,5,2016
162,2431,8687,1263,12,123.16,115.77,8864,5,2016
163,3770,8687,1263,9,77.5,72.73,5240,5,2016
164,3652,8687,1263,8,46.22,44.09,3668,5,2016
165,7285,8687,1263,11,81.04,76.37,6431,5,2016
166,4550,8687,1263,4,41.16,38.77,2420,5,2016
167,10206,8687,1263,6,50.4,47.29,3545,5,2016
168,10247,8687,1263,2,23.38,21.86,1400,5,2016
169,2147,8687,1263,3,19.15,18.36,1520,5,2016
170,1632,8687,1263,4,36.41,34.03,2890,5,2016
171,7415,8687,1263,2,11.46,11.05,910,5,2016
172,2232,8687,1263,5,46.54,43.78,3010,5,2016
173,4019,8687,1263,14,117.51,110.2,8415,5,2016
174,202,8687,1263,2,14.12,13.37,1120,5,2016
175,4322,8687,1263,3,13.23,12.6,1050,5,2016
176,7579,8687,1263,6,36.15,34.31,2870,5,2016
177,1540,8687,1263,5,26.47,25.3,2100,5,2016
178,3293,8687,1263,3,20.1,18.98,1596,5,2016
180,1545,8687,1263,1,3.53,3.38,280,5,2016
181,2575,8687,1263,5,18.03,17.66,1432,5,2016
182,10648,8687,1263,5,32.63,30.94,2589,5,2016
183,5414,8687,1263,6,43.24,40.96,2520,5,2016
184,9621,8687,1263,2,5.29,5.14,420,5,2016
185,9467,8687,1263,7,68.35,64.08,5425,5,2016
186,3952,8687,1263,8,59.74,55.98,4650,5,2016
187,8183,8687,1263,2,2.82,2.86,224,5,2016
188,1306,8687,1263,11,72.39,68.15,3724,5,2016
189,3218,8687,1263,20,220.38,207.11,15800,5,2016
